Work Order,Acct,Street,City,State,Zip,Scheduled Date
WO-00239848,CARILLON HOUSE - OHIO,2230 PATTERSON AVE.,KETTERING,OH,45409,3/19/2020 8:00 AM
WO-00350415,CINCINNATI BELL-OHIO,209 W. 7TH ST. - 5TH FLOOR,CINCINNATI,OH,45202,10/5/2020 8:00 AM
WO-00350576,CINCINNATI BELL-OHIO,209 W 7th St.,Cincinnati,Ohio,45202,10/5/2020 12:00 PM
WO-00350577,CINCINNATI BELL-OHIO,209 W 7th St.,Cincinnati,Ohio,45202,10/5/2020 11:00 AM
WO-00350550,CINCINNATI BELL-OHIO,209 W 7th St.,Cincinnati,Ohio,45202,10/5/2020 9:00 AM
WO-00350615,CINCINNATI BELL-OHIO,209 W 7th St.,Cincinnati,Ohio,45202,10/5/2020 10:00 AM
WO-00341139,CYRUS ONE - OH,401 FUJITEC DR,LEBANON,OH,45036,8/17/2020 2:00 PM
WO-00345735,CYRUS ONE - OH,4800 PARKWAY,MASON,OH,45040,9/9/2020 8:00 AM
WO-00345904,CYRUS ONE - OH,4800 PARKWAY,MASON,OH,45040,9/9/2020 9:00 AM
WO-00348247,CYRUS ONE - OH,4800 PARKWAY,MASON,OH,45040,9/9/2020 11:00 AM
WO-00350403,CYRUS ONE - OH,229 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 3:00 PM
WO-00350404,CYRUS ONE - OH,229 W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 8:00 AM
WO-00350429,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 11:00 AM
WO-00350419,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 4:00 PM
WO-00350421,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 5:00 PM
WO-00350422,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 9:00 AM
WO-00350423,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 10:00 AM
WO-00350469,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 12:00 PM
WO-00350496,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 1:00 PM
WO-00350558,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 2:00 PM
WO-00350622,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 3:00 PM
WO-00350587,CYRUS ONE - OH,229 W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 2:00 PM
WO-00350623,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 5:00 PM
WO-00350624,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/19/2020 4:00 PM
WO-00350625,CYRUS ONE - OH,W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 1:00 PM
WO-00350656,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 12:00 PM
WO-00350658,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 11:00 AM
WO-00350659,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 10:00 AM
WO-00350660,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 9:00 AM
WO-00350661,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/12/2020 8:00 AM
WO-00350662,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/5/2020 4:00 PM
WO-00350663,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/5/2020 3:00 PM
WO-00350664,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/5/2020 2:00 PM
WO-00350665,CYRUS ONE - OH,209 W. 7TH ST.,CINCINNATI,OH,45202,10/5/2020 1:00 PM
WO-00308540,DAYTON DAILY NEWS - OH,1611 SOUTH MAIN STREET,DAYTON,OH,45409,
WO-00248879,DUKE ENERGY REG - OH/KY,6293 BEAVER RD. ROUTE #338,RABBIT HASH,KY,41091,9/16/2019 10:00 AM
WO-00345738,DUKE ENERGY REG - OH/KY,6293 BEAVER RD. RT. #338,RABBIT HASH,KY,41091,9/11/2020 8:00 AM
WO-00345741,DUKE ENERGY REG - OH/KY,6293 BEAVER RD. RT. #338,RABBIT HASH,KY,41091,9/11/2020 9:00 AM
WO-00345901,DUKE ENERGY REG - OH/KY,6293 BEAVER RD. RT. #338,RABBIT HASH,KY,41091,9/11/2020 10:00 AM
WO-00263745,L-3 COMMUNICATIONS - CINCINNATI,7500 INNOVATION WAY,MASON,OH,45040,3/26/2019 8:00 AM
WO-00348473,LEVEL 3 - OHIO,9490 MERIDIAN WAY,WEST CHESTER,OH,45069,8/6/2020 8:00 AM
WO-00350434,ST. ELIZABETH HOSPITAL - KY,2781 CHANCELLOR DR,FORT MITCHELL,KY,41017,11/18/2020 8:00 AM
WO-00350511,ST. ELIZABETH HOSPITAL - KY,2781 CHANCELLOR DR,FORT MITCHELL,KY,41017,11/18/2020 9:00 AM
WO-00350512,ST. ELIZABETH HOSPITAL - KY,2781 CHANCELLOR DR,FORT MITCHELL,KY,41017,11/18/2020 11:00 AM
WO-00350566,ST. ELIZABETH HOSPITAL - KY,2781 CHANCELLOR DR,FORT MITCHELL,KY,41017,11/18/2020 10:00 AM
WO-00350686,ST. ELIZABETH HOSPITAL - KY,2781 CHANCELLOR DR,FORT MITCHELL,KY,41017,11/18/2020 12:00 PM
WO-00319627,US BANK - OHIO,5065 Wooster Rd,Cincinnati,OH,45226,4/23/2020 9:00 AM
WO-00319639,US BANK - OHIO,5065 Wooster Rd,Cincinnati,OH,45226,4/24/2020 9:00 AM
